	author	comment
313	fuck	I was 15 when this song came out, and I cannot appreciate it enough, it stays as one of my favorite songs, and one of the best of all time
314	MUHARREM SEKMEN	GERÇEKTE BİR İMA VARDIR.
315	MUHARREM SEKMEN	HERSÖYLEVDE YANLIŞANLAMA VARDIR. BİR YERDEN HERŞEY BİLİNİYOR.
316	MUHARREM SEKMEN	GERÇEK HEP AYNIOLDUKÇA KAZANIR.
317	MUHARREM SEKMEN	KISACA SIFIIR BİR DİL OYUNU TAMDEĞİŞGENİ TANIMLAR TAM DEĞİŞMEYEN KARŞI.
318	KJ	Probably one of the best songs of the 20th century!
319	MUHARREM SEKMEN	YAŞAMDA HERŞEYE BİR ÇARE BULUNMALIDIR.
320	MUHARREM SEKMEN	İNSAN BİÇİMDEĞİŞTİREMEZ DEĞİŞTİRMEK HASTALIKTIR.
321	Katherine Leroux	Je crois que cette chanson devrais être près de la fin du disque....car je connais pas dans ma mémoire d'avoir attendu dans mon lit ((âgé de 5 ans) votre album GOLD je le connais grâce a mes parents. 😊j'ai 48ans je vous adore
322	MUHARREM SEKMEN	DÜŞÜNCE HAREKETİN KENDİSİDİR.
323	MUHARREM SEKMEN	ÖZGÜRLÜK RAHMETTİR. ZARURİYET LANETTİR.
324	Steve	The best Abba song.
325	MUHARREM SEKMEN	GERÇEKTE ÖZNE EVRENSEL ALGIDIR. BU KAYITSIZ ŞARTSIZ TAPINMALI BİR KURTULUŞTUR.
326	Usuario975 66	"Aos 1:42 dá impressão que ela tá mandando ""cuidar da higiene"" 😆🤣"
327	MUHARREM SEKMEN	BİR KİMSE GERÇEKÇİ OLARAK BENİ İSTEYEMEZ. BEN GERÇEKÇİ BİR KİMSEYİ ASLA İSTEMEM. ASLA.
328	김태엽	정말 잘해요
329	Артур Сулейманов	Каждый прекрасен по своему, долгие вам лета.
330	MUHARREM SEKMEN	SİZ GERÇEK BİR BİLGEYİ CEHALETİN ELİNDEN KURTARAMAZ SINIZ.
331	MUHARREM SEKMEN	VARLIĞIN TERSİ OLUR FAKAT ZIDDI OLMAZ. VARLIK TEKTİR.
332	Madison Ponicappo	It kills me when she say 'youve come to shake my hand'
333	MUHARREM SEKMEN	ALGININ DERECELERİ VARDIR.
334	MUHARREM SEKMEN	BİR İHTİMAL HEP KENDİME YETECEĞİMDİR. HER AN.
335	my BulliPage	I don't know how many nights I cried while listening this song and remembering my story. 🌹
336	MUHARREM SEKMEN	BİR ALGI MERKEZİ VARDIR.
337	MUHARREM SEKMEN	BEN HERŞEYE AŞIĞIM. HİÇBİRŞEYE ALDIRMAMAK BENİM HAKKIM. ÖYLE DEĞİLMİ.
338	MUHARREM SEKMEN	GERÇEKTE HİÇ BİR NOKTA TEK DEĞİLDİR.
339	MUHARREM SEKMEN	BÜTÜN İNANÇLARIN TEMELİNDE VARSAYIM YATAR. VARSAYIM BİR KABULLENİMDİR. İHTİMAL BELİRTMEZ.
340	Márcia Santos de Oliveira Oliveira	Essa música me lembra meu irmão que acha a voz dessa mulher belíssima.
341	MUHARREM SEKMEN	CEHALET HİÇBİRŞEY BİLMEZ KAZANDIRIR. BEN HALA BİLDİĞİMLE KAZANDIRMAYA ÇALIŞIYORUM.
342	Rodrigo Paolinelli	The best song fron ABBA
343	MUHARREM SEKMEN	IŞIK BİR YÜZEY MADDESİDİR.
344	MUHARREM SEKMEN	HER KELİME VURGUSU DİLDE SINIR OLUŞTURMADIR.
345	AmeliaRadu	Best break up song ever... If you want to twist the knife in your heart after a bad break up, listen to it then go and cry some more.
346	MUHARREM SEKMEN	ÖZNE DEĞİŞMEZ HERKEZDE AYNIDIR.
347	MUHARREM SEKMEN	GERÇEKTE ZAMAN BİLGİSİNDE HATA BULUNUR. ZAMAN SÜREÇTİR VE SÜREÇ TEK DÜŞÜNÜLÜR.
348	MUHARREM SEKMEN	ZAMAN YOKLUKTA BULUNUR. AŞK YOKLUKTADIR. YOKLUK ÖZGÜR AKAR.
349	MUHARREM SEKMEN	ZAMAN BİLİNMEZ DEĞİL.
350	MUHARREM SEKMEN	SABİTTE BİR BAŞLANGIÇ BİR SON DÜŞÜNÜLEMEZ.
351	MUHARREM SEKMEN	ZAMAN TEK DÜŞÜNÜLÜR.
352	MUHARREM SEKMEN	BAŞLANGIÇSIZ SONSUZ. HAYATTIR. HAYAT SÜREÇTİR. SÜREÇ NE BİLİNMEZ.
353	sole 73	Ero bimba..ora non più... canzoni come questa non tramonteranno mai❤
354	Theofanis Nikolopoulos	I played all my cards. What a strong human nature! ABBA forever. We love you...
355	MUHARREM SEKMEN	ÖZNE BİR DÜŞÜNCEDİR GERÇEKTİR. VE HİÇBİRŞEYE İLİŞKİLENDİRİLEMEZ.
356	MUHARREM SEKMEN	YAŞAMDA BAZIŞEYLERE AÇIK OLUNMAYABİLİR. BU BİR ÇELİŞKİ DEĞİLDİR.
357	MUHARREM SEKMEN	ZAMANDA ÇARE ARAYIŞI VAR. ZAMAN GİTGİDE YAKLAŞIYOR.
358	Moisés do Carmo Francisco	Quem veio pela música através da série better call Saul igual a mim?
359	RAFA Martinez	Es muy difícil elegir la mejor canción de este maravilloso grupo porque muchas de sus canciones son muy bonitas , pero para mi gusto esta canción es doblemente bonita porque la letra es autobiográfica y desgarradora y a pesar de ello la composición musical es bellisima , te llega al alma.
360	MUHARREM SEKMEN	ZAMAN BOŞLUKSUZ OLUYOR.
361	MUHARREM SEKMEN	İNSAN HEP AN' I ARAR. AN HEP KAÇAR.
362	MUHARREM SEKMEN	KÖTÜLÜK. YAŞAYACAK. İYİLİK ÜSTUTMAK ŞARTIYLA
363	MUHARREM SEKMEN	ÖZNE LER BİRBİRİNE YAKLAŞTIKÇA ÖZNE BÜYÜYE BİLİR.
364	MUHARREM SEKMEN	BEN BİR SANDIĞIM GERÇEĞİN KURBANIYIM.
365	MUHARREM SEKMEN	BİRBİRİNE GÖRE VAROLMAYAN GERÇEKLERİ DÜŞÜNMEK SAÇMALIKTIR. BU BİR ÇELİŞKİDİR.
366	MUHARREM SEKMEN	SEN SEVGİYİ GERÇEK YAŞIYORSUN.
367	MUHARREM SEKMEN	GERÇEK BİLİNMEZ SANILIR. GERÇEK BİLİNİR.
368	nick haswell	Lyrically an absolute masterpiece
369	MUHARREM SEKMEN	AŞK NEFRETTEN İLERİ GELİR. SEVGİYİ ARAR.
370	Sara horani	I like it ♥️2022
371	Mattias Persson	My heart broke today
372	HoppyCanvas	The winner takes it all, the loser standing small...point is, did you learn something of intrinsic value?
373	Letícia Aguiar	música que toca minha alma! 😍 uma pena não ter nascido nessa época e ser de 2002!
374	MUHARREM SEKMEN	ZAMANSIZLIK ANSIZLIK TEK DEĞİLDİR.
375	MUHARREM SEKMEN	HİÇ VAROLMAYAN BİRSAYI DÜŞÜNDÜRÜLEMEZ. BU SAÇMALIKTIR. BİR SAYI BİR ÖLÇÜM ALIR ÖLÇÜM VARDIR. VAROLMAYAN BİR ÖLÇÜM ZATEN VAR DEĞİLDİR.
376	MUHARREM SEKMEN	GERÇEKTE ÇOCUK SEVİLİR.
377	MUHARREM SEKMEN	YÜZEYE YAKLAŞMAK UZAYDAN TAMDIR.
378	livia victoria	Linda toca na alma
379	Mal	The last seconds of the song I’m like : 😭😭
380	MUHARREM SEKMEN	BİR NOKTA KENDİNE YAKIN OLDUĞU DERECE UZAK DEĞİLDİR.
381	MUHARREM SEKMEN	ZAMAN BEYAZ DELİKTİR.
382	MUHARREM SEKMEN	ZAMAN BEYAZ DELİKTİR.
383	Cristian Tomasin	who still listens to this masterpiece in 2022 ❤❤❤
384	M. Leslie	So when I studied abroad in France, I took my mom to Switzerland. She always dreamt of seeing the alps…, and I was able to give her that gift. It’s so weird that this song reminds me of jungfrau top of Europe…, anyway be safe and warm and loved this new year!
385	MUHARREM SEKMEN	ZAMAN BOŞLUKTA BULUNUR. BOŞLUK İLERİ YÖNDÜR.
386	Симона Маузер	The winner takes it all actually as always, and like about war Russia 🇷🇺 Ukraine 🇺🇦
387	TinaNathan Infinity	Winner takes it all.....
388	MultiMagnumforce	Agnetha is a great singer could be the best voice I've ever heard.
389	MUHARREM SEKMEN	GERÇEKTE SÜRECİ MEKANLA BİR SANIP. KARIŞTIRMA VARDIR. SÜREÇ MEKANIN DIŞINDADIR.
390	MUHARREM SEKMEN	ERKEİĞİN ASLI ZAMAN YAŞAR. BEN ZAMANA AŞIĞIM. ZAMAN ÖZGÜR YAŞAR.
391	Olga	На века!
392	MUHARREM SEKMEN	HAREKET HIZ GİBİ DÜŞÜNÜLEMEZ ZAMANLA İLGİ KURULUR.
393	Zezinho Reis	Amo de paixao essa musica ao ouvir queria poder abraçar esse quarteto lindo que fez lindas cançoes por onde passaram
394	Dr Tim O'Shea	Great song - superb arrangement -- - but she's holding back This is a song for Linda Ronstadt, Bernadette Peters or Michelle Branch ... missed opportunity to blow the roof off ---
395	MUHARREM SEKMEN	BENİ BİTİREN BU BİLİNİRLİK HAVASI.
396	MUHARREM SEKMEN	GERÇEĞİ ALDATIRSIN SEN ÖYLEMİ.
397	MUHARREM SEKMEN	AYNILIK AZALIR AZALIR AZALDIKÇA DEĞİŞİP SONUNDA YOK. SONSUZ DEĞİŞİR.
398	Kiran SR B	This song hits you when you Discover IT like a strong strain
399	MUHARREM SEKMEN	GERÇEK ALGILAR.
400	MUHARREM SEKMEN	SİZ BELLİ BİR OLASILIKTA ÇALIŞIRSINSINIZ. CEHALET HİÇ YANİ SONSUZ OLASILIKLA ÇALIŞIR. CEHALET BAŞTA KAZANIR. SİZ HALA KAZANMAYA ÇALIŞIRSINIZ.
401	Parv	If you are not doing anything in your life and want to achieve this song will motivate to work not let any opportunities miss Keep working on day you will your desires
402	MUHARREM SEKMEN	SIFIRA SAĞDAN VE SOLDAN YAKLAŞIM. TAMOLAMAZ HİÇ BİR DURUMDA.
403	Justyna Dominiak	🎖🏅...🏆🏆🏆
404	MUHARREM SEKMEN	HAYAT BİLGİ OLUYOR.
405	MUHARREM SEKMEN	GERÇEKTE VAR OLMAK VAROLMAMAYLA BİLİNİR.
406	MUHARREM SEKMEN	SIFIR ANI HİÇ BÖLÜNEMEZ. BÖLÜNEMEYEN TOPLANAMZ.
407	Peter Sawue	Este es un pinche tema super hermoso....soy mexicano pero amante de la música en inglés y ABBA es uno de mis grupos favoritos....alguien más escuchándola en 24-09-21....
408	MUHARREM SEKMEN	GERÇEKTE SADECE DEĞİŞGENLİK DERECELERİ BULUNUR.
409	MUHARREM SEKMEN	ZAMAN AYNI ÖZNE ÖZELLİĞİ GÖSTERİR.
410	MUHARREM SEKMEN	DEĞİŞGEN GERÇEK DEĞİŞGEN GERÇEĞE GÖRE SÜREKLİ DÜZENSİZ DEĞİŞİR.
411	Костя Костя	Μπραβο!
412	MUHARREM SEKMEN	ANCAK OLAĞANÜSTÜ BİR ŞEY KURTARIR. GERÇEĞİ.
413	MUHARREM SEKMEN	GERÇEK HERŞEYE KADİRDİR BİR DE OLABİLİR BİR İÇİNDE ÜÇ TE OLABİLİR.
414	MUHARREM SEKMEN	KATİYEN ÖZNE NESNENİN DIŞINDADIR. HİÇBİR SES HİÇBİR İŞARET ÖZNE DEĞİLDİR.
415	MUHARREM SEKMEN	BİLGE HERŞEYE ALDIRIR. KONUŞUR. CEHALET HİÇBİRŞEYE ALDIRMAZ KONUŞUR.
416	Ivan Gummel	Вечная музыка.как у Моцарта.СПАСИБО АББА.
417	MUHARREM SEKMEN	GERÇEKTE KESİN OLUNMAZ. İHTİMAL DAHİLİNDE OLUNUR.
418	MUHARREM SEKMEN	GERÇEKTE HATAM OLUR. GERÇEK DÜŞÜNÜLEMEZ.
419	Carolina Olson	I left My country in 1980 due to a civil ward I left all My good friends specifically My childhood house Were I grew up. I was so sad but now I am USA citizen And I love this country. But I still miss My childhood friends.
420	MUHARREM SEKMEN	AN DEĞİŞİR ZAMAN DEĞİŞİR.
421	Jack Sprat	Much to the chagrin of my wife and kids I loved Abba when they came out in the 1980’s. I feel totally vindicated now as many of their songs are being scored with classical music. Abba will live forever in the world’s heart.
422	Michael	❤🙂
423	MUHARREM SEKMEN	SÜREKSİZLİK MEKANDIR. SINIRLI YANİ SONLU DUR.
424	MUHARREM SEKMEN	BÜTÜN BUNLAR ÖNEMSİZDİR. ORTAK UZAY KİMSEYE GÖRE DEĞİLDİR. HERHANGİ BİR UZAYA GÖRE. DENİR.
425	MUHARREM SEKMEN	EN ÜST GÜVEN KİMSE BİLEMEZ.
426	Ирина Рыбина	""" Победитель "" получает все...Как она это поет , сколько внутренней силы..."
427	MUHARREM SEKMEN	GERÇEK KESİNLİKLE ÖVÜNÜR. İHTİMAL NEREYE VARIR BİLİNMEZ. İHTİMALDEN KORKUYORUM. KESİN AĞIZLAR BENİ KORKUTUYOR.
428	MUHARREM SEKMEN	ÇOCUK HEP AN DIR. NERDE BELLİ DEĞİLDİR.
429	Devon Medway	@2:51 is the moment!
430	MUHARREM SEKMEN	VAR OLMAYANI YOK SANMAK YANILGI DIR. BAŞKASINA GÖRE VARDIR O. VARLIĞIN ZIDDI YİNE VARLIKTIR. VARI YOKA ZIT DÜŞÜNMEK HATADIR.
431	Janet Gates	Probably the most under rated song from ABBA and one of my favorites!
432	MUHARREM SEKMEN	SABİT BİR AN DÜŞÜNÜLMEZ BU HATA.
433	MUHARREM SEKMEN	BİR NOKTA TAM YAKINSA SONSUZ UZAK DEĞİLDİR.
434	Jude Reyes	Absolutely very 🎉❤marvelous amazing 🤩 majestic enchanting exhilarating exciting and exceptional musical 🎤 performance of the best ever group singing spectacular sensational song 🎵 to stimulate my everlasting LOVING memories to continue Loving 🥰 wonderful woman 👩 JENNIFER of which I LOVE ❤️ so much indeed my everlasting loving 🥰 wonderful women
435	stej enli	СЛАВА ГЕРОЯМ !!!!!!!
436	Cj Josh	The year i was born 1980 im the winner😁😊
437	MUHARREM SEKMEN	IŞIK MUZİCEDİR.
438	MUHARREM SEKMEN	TEMASSIZLIK TAM SON BULUR.
439	MUHARREM SEKMEN	HAREKET RUHTUR AKILDIR. İNANMAKTAN BAŞKA ÇARE BULUNMUYOR. BU GÖRÜNMEZ. BU ÖZNEDİR.
440	Ysaac Wichmann	I LOVE YOU ABBA FOREVER !!! 💙👍👍 : )
441	MUHARREM SEKMEN	KAPALI BİR NOKTA DA YÜZEYDE TAM SONLAN MA VARDIR. BU SIFIRA TAM YAKLAŞMNIN TAM OLDUĞU DURUMDUR.
442	Jonathan Baxley	this isnt a kneejerk statement.this preformance is quite possibly the greatest ever by a female.youlie by reba mcentire runs a close second
443	MUHARREM SEKMEN	BOŞLUK SÜREÇ DÜŞÜNÜLMEZ. BOŞLUKTA SINIR BULUNUR. MADDE MEKANDIR. MEKAN SINIRLI DÜŞÜNÜLÜR.
444	MUHARREM SEKMEN	OLMAYAN DÜŞÜNÜLEMEZ. OLANIN ZIDDI DEĞİLDİR.
445	Euzineia Oliveira	Linda, amo esse grupo.
446	MUHARREM SEKMEN	BEN GERÇEĞİ İHTİMALLE UYARIYORUM.
447	Zahraa almusawi	❤
448	MUHARREM SEKMEN	GERÇEK ÇOK BİR BÜYÜKTÜR.
449	MUHARREM SEKMEN	ÖYLEYSE SAÇMAOLMAYAN NEDİR.
450	Cindy Miceli	Who else is here because of better call Saul? 🙋🏻‍♀️🙋🏻‍♀️🙋🏻‍♀️
451	MUHARREM SEKMEN	GERÇEKTE BİLGİ VARDIR. BİLGİ KANUNU. DÜRÜSTLÜKTEDİR.
452	MUHARREM SEKMEN	DİLDE OLUMLULUK ÇELİŞMEZLİKTİR.
453	MUHARREM SEKMEN	ZAMAN AN SÜREÇ DÜŞÜNDÜRÜR.
454	Maniloff	Прекрасная песня, шедевр!
455	MUHARREM SEKMEN	DÜŞÜNCE KENDİNDE DÜŞÜNÜR.
456	MUHARREM SEKMEN	HAREKET DEĞİŞEBİLİR DE. BU BİR DEĞİŞİM DÜŞÜNCESİDİR. BİR KESİN VARSAYIMLA NİTELENDİRMEDİR.
457	MUHARREM SEKMEN	ZAMANDA YÖN BULUNUR. YÖN İLERYE DOĞRU İLERİ YUKARIDIR. YÖN UZAYDA DIR. . UZAY ZAMANDADIR. YÖNDÜR. ZAMAN SÜREÇTİR. SÜREÇ YAVAŞ İLERLER.
458	metin karadag	What a song .......
459	nick haswell	Oh my god this song is so good in everyway lyrics, vocals the whole package and my god does it deliver like no other moves me like no other song does Purely sensational how does this have the same effect 40+ years on absolute magic
460	Mohamed Zebroud	You win today , you may lose tomorrow . Don’t forget this
461	MUHARREM SEKMEN	GERÇEK FAKİRDE YAŞANIR. BUDA BİR ANLAMDIR. ARTIRIRKEN AZALAN AZALIRKEN ARTIRAN GİBİ. GERÇEKTE ANLAM DEĞİŞMEZ. ANLAM BİRDİR.
462	MUHARREM SEKMEN	GERÇEKTE BEN SİZİ SEVMEDİM. BEN BİR KAŞFİ SEVDİM. HEP GİDEN BİR KAŞİF.
463	Ирина Панькина	Спасибо
464	Ian Aka	She sings with so much emotion 😪🤧 ❤
465	MUHARREM SEKMEN	GERÇEK YAKINLIKTIR. AŞK. BENZERLİK TİR. BENZERLİK AYNIŞEYDEĞİLDİR. AŞKIN YAKASINI BIRAK. AYNILIK TA BENZERLİK OLMAZ.
466	MUHARREM SEKMEN	VARLIK BİRÇOK BOYUTTA BULUNUR.
467	Helen Talia	English is not even Abba's first language, but the emotions jump out in every word. January 30, 2023.
468	MUHARREM SEKMEN	BİR ŞEY Mİ ZORLUYOR. UZAKLARDAN BİR BAĞMI VAR.
469	MUHARREM SEKMEN	GERÇEKTE HATA VARDIR. BAŞKA BİR ŞEY OLANI BAŞKA BİRŞEY DÜŞÜNMEK GİBİ. OLMAYANI VAR DÜŞÜNMEK GİBİ.
470	Ionel Pricop	Ador ador
471	MUHARREM SEKMEN	GERÇEKLE DALGA GEÇİLMEZ.
472	MUHARREM SEKMEN	BİRŞEY NE KADAR TAM.
473	Vesta	Любимая ABBA супер.🔥🔥🔥👌💋❤️❤️👍👍👍
474	MUHARREM SEKMEN	İNSAN GERÇEKTE İDDACIOLMAZ.
475	MUHARREM SEKMEN	VARLIK BİR BOYUTTA BULUNUR.
476	MUHARREM SEKMEN	HER BOYUT DIŞTIR. BİLİNİR ANLAMDA.
477	MUHARREM SEKMEN	ORTAK GERÇEK BİR ORTAK OLMAYAN GERÇEK FARKLI DÜŞÜNÜLÜR.
478	Sandra Zekovic	timeless music...wonderful 💖
479	MUHARREM SEKMEN	ÖZNE HAKKINDA SÖYLENEN KESİN OLMALIDIIR. ÖZNE BÖLÜNEMEZ BİR İÇE DOĞRU BOYUTTUR. BU SIFIR BOYUTUDUR.
480	MUHARREM SEKMEN	BU BAĞIŞSIZ HAYATTIR.
481	MUHARREM SEKMEN	BİLİNMEZLİĞİN BİLİNMEZLİĞİ BİLİNMEZLİK DEĞİLDİR. BİLİNMEDE DEĞİLDİR. BU SUSUŞTUR.
482	Gabor Markovlcs	Abba forewer!
483	MUHARREM SEKMEN	IŞIKTAN EMİR BÖYLE GELİR.
484	MUHARREM SEKMEN	SÜREÇ SADECE ZAMANDIR.
485	MUHARREM SEKMEN	IŞIK TAM TAM. BOŞLUKTUR. HAYAT YARIAÇIK BOŞLUK. IŞIKTAN HAYATA GEÇİŞ BULUNUR. HAYAT RUHTUR.
486	MUHARREM SEKMEN	ZAMANSIZLIK NESNEDİR VE NESNE AN'DIR. AN ÇOKLU YAPIDADIR. NESNE TEK DÜŞÜNÜLMEZ. NESNE BİRSİZ TEK SİZDİR NESNE ÇOKLU DÜŞÜNÜLÜR.
487	ASIA BASIA	ЭТО ПРЕКРАСНО, СЛАДКО И НЕЖНО!
488	MUHARREM SEKMEN	HER ÇOCUĞUN BİR SAYISI VARDIR.
489	MUHARREM SEKMEN	HER NE BELİRSİZLİK VARSA BEN OYUM.
490	5T3FF13 SRAD	Gorgeous woman she is
491	MUHARREM SEKMEN	NE OLUR DİĞERLERİNİDE DÜŞÜNEREK HAREKET EDİN.
492	ikyu 72	Preface: I'm a 90's grunge product, but have always appreciated this group. Such a talented group with some of the best vocals and harmonies of all time. Check out 3:50. That is all.
493	MUHARREM SEKMEN	HİÇLİK NE BİLİNEMEZ.
494	MUHARREM SEKMEN	ZAMAN BİR TEK DÜŞÜNÜLÜR. ZAMAN SIZLIK AN SIZLIK ÇOK DÜŞÜNÜLÜR.
495	Alejandro Pandolfo	🥂🌹💐👏☀️❤️
496	MUHARREM SEKMEN	BİLGİYE İNANAÇ OLUYOR.
497	MUHARREM SEKMEN	SÜREÇİ BÖLEN KAVRAMLAR GEÇERSİZ KABUL EDİLİYOR. SÜREÇ BOŞLUKTUR. VE BU BİRTEK BİLİNİYOR.
498	MUHARREM SEKMEN	YOKLUK BİR VARSAYIMDIR. SIFIRDIR. SONSUZ BİR DEĞİŞGENDİR.
499	MUHARREM SEKMEN	DÜŞÜNMEK UZAK KONUMLARDAN BİR YÜZEYSEL ETKİDİR.
500	MUHARREM SEKMEN	BOYUTSUZ YAPIYA KAYITSIZ ŞARTSIZ İNANÇTAN Kİ BU İMANDIR. BAŞKA ÇARE BULUNMUYOR.
501	Roger Gongora	Una de las voces más sublimes que ha dado este mundo : Agnetha Faltskog . Millones de hombres nos enamoramos de su tierna y encantadora voz , y su rostro angelical . BEAUTIFUL , BEAUTIFUL !!!!!!!!
502	MUHARREM SEKMEN	OLMAYAN ZATEN OLMAYANDIR. ONUN OLMAYANI OLMAZ. BU DÜŞÜNÜLEMEZ SAÇMALIKTIR.
503	MUHARREM SEKMEN	BİLGİ AŞKINI ARIYOR. BİLGİ TANRININ KENDİSİ.
504	MUHARREM SEKMEN	BU GERÇEĞE TEHDİT DEĞİLDİR.
505	MUHARREM SEKMEN	TAM TEMASTA YAKINLIK SONSUZ.VARDIR .UZAKLIK SONSUZ VAR DEĞİLDİR.
506	MUHARREM SEKMEN	ZAMANSIZLIK NESNEDİR NESNE AN DIR NESNE ÇOKLU YAPIDADIR.
507	MUHARREM SEKMEN	BİLGE CEHALETİN ETTİĞİ İŞKENCE ACISINDAN KURTULAMAZ.
508	MUHARREM SEKMEN	BÜTÜNÜN DENGİ BÜTÜNDÜR.
509	MUHARREM SEKMEN	BİRŞEY HEP OLSI YÖNDE DÜŞÜNÜLÜR. AKSİ YÖNDE ASLA. POZİTİFİZM BUDUR.
510	MUHARREM SEKMEN	ÖZNE TAM DEĞİŞGENDİR.
511	MUHARREM SEKMEN	GERÇEK BİR ÇOK DÜŞÜNÜLÜR. GERÇEKTE İLİŞKİ IŞIKLA DÜŞÜNÜLÜR.
512	MUHARREM SEKMEN	BİGİ DE KUSURSUZ İLŞKİLENDİRME OLUYOR. ÖZNEL ZAMAN. BİLGİ OLUYOR. HERŞEY IZAYIN İÇİNDE OLUYOR. BİLGİ UZYAYIN DIŞINDA BULUNUYOR. UZAYIN İÇİNDE OLAN HERŞEY NESNEL OLUYOR.
513	MUHARREM SEKMEN	HİÇBİR NOKTA DİĞERİNE SONSUZ IRAKTA BULUNMAZ.
514	MUHARREM SEKMEN	HAYIR SIFIRDA EŞİTLİK VARDIR. BU HİÇ BİR ZITLIK DÜŞÜNDÜREMEZ. SIFIR ZITSIZDIR.
515	MUHARREM SEKMEN	SÜREÇ AYNI KABUL EDİLECEK. SÜREÇ DEĞİŞMEZ ÖZNE YAPISIDIR. ÖZNE BÖLÜNMEZ.
516	MUHARREM SEKMEN	BİR ZAYIF ÇOCUK BİR ZAYIF AN. İŞTE IZDIRABA DAYANMAM ONDANDIR.
517	Jennifer Okazaki	Undergrad, medical school, residency.......And, just turned 40, on verge of retiring. And, still watching this vid. Enjoyed it -Thx Youtube.
518	Хельга Оттеборг	Никогда не разделяла вокал АННЫ-ФРИДЫ и АГНЕССЫ. Для меня ABBA навсегда!!! Да, забыла про МУЖЧИН - они великолепны ОБА. 😇
519	MUHARREM SEKMEN	BÜTÜN BUNLAR ÇOK NORMALDİR. AĞLASAMDA.
520	MUHARREM SEKMEN	YÜZYDE HİÇ AÇIKLIK BULUNMAZ. BU KAPALI NOKTA. HİÇ KELİMSİ BURAYA UYGUN. YÜZEY TAM SINIRDIR.
521	MUHARREM SEKMEN	BEN ORTAKLIK DÜŞÜNDÜREN ŞEYLER HAKKINDA KARAR VEREMEM. BEN FARKLI ŞEYLER HAKKINDA KARAR VEREBİLİRİM. ORTAK ŞEYLER HAKKINDA KARAR İNSANLAR VERİR. BEN İNSANIM BEN İNSANLAR DEĞİLM. BEN İNSANLARI İŞİNE KARIŞAMAM.
522	MUHARREM SEKMEN	GERÇEKTE KUSURSUZLUK BULUNUR. KUSUR İNSANDA BULUNUR. İNSAN HEP KUSURSUZ ARAR. BENDE İNSANIM. GERÇEĞİ ARIYORUM. BULABİLİRİM BELKİ. .
523	Артем	Это безумие, какая эмоциональная Музыка
524	MUHARREM SEKMEN	GERÇEKTE HAKLILIK VARDIR.
525	Mauro Arrighini	stupenda lei e la canzone
526	MUHARREM SEKMEN	HAREKETTE SINIR TANIMAMA BULUNUR. HAREKETE SINIR BİÇİLEMEZ.
527	MUHARREM SEKMEN	BU HİÇ BELİRTİSİOLMAYAN BİR VARLIKTIR. BELİRTİSİZ BİR VARLIK DÜŞÜNÜLEMEZ. BU SAÇMALIKTIR.
528	DaveSpecter1065	Still hurts…40 years later…🥺
529	MUHARREM SEKMEN	SÜREKLİLİK ZAMANDIR.
530	Victor Joel Rodríguez Lemus	Love forever Made un Victory
531	MUHARREM SEKMEN	KELİME DEĞİŞSEDE GERÇEK. DEĞİŞMEZ
532	MUHARREM SEKMEN	GERÇEK BİR ÇOK DÜŞÜNÜLÜR.
533	Ewa Ziniewicz	Za kwadrans mam 44 urodziny... Moja mama zaszczepiła we mnie miłość... Dla Abby, od kiedy pamiętam.. Ten utwór uwielbiam.. Ponad wszystkie❤️
534	MUHARREM SEKMEN	SÜREKSİZLİK SABİT BİR AN DIR SABİT BİR AN SÜREKLİ BİR AN DIR. . BU ZAMANSIZLIKTIR. MEKANDIR. MADDE MEKANDIR
535	MUHARREM SEKMEN	HAREKET ZAMANA BAĞLI HIZ DEĞİLDİR.
536	MUHARREM SEKMEN	HATALARIN DEĞİŞBİLİRLİĞİ KONUMLARIN DEĞİŞEBİLİRLİĞİDİR.
537	MUHARREM SEKMEN	BOŞLUK SÜREÇ ŞEY DEĞİLDİR. BOŞLUK ŞEYSİZDİR.
538	MUHARREM SEKMEN	ZAMANSIZLIK BOŞLUKTUR.
539	MUHARREM SEKMEN	YÜZEYDE İÇE DOĞRU TAM KAPALILIK BULUNUR. YÜZEYİN KENDİSİ İÇTİR.
540	MUHARREM SEKMEN	YÜZEY KAPALI BİR NOKTADIR. UZAYDA YÜZEY BULUNMAZ. SÜREKLİ AÇIK BİR YÜZEY NOKTASI OLAMAZ. BU SIFIR YÜZEYE DENK GELİR.
541	MUHARREM SEKMEN	UZAYLILAR GÖRÜYORUM. YARABBİ BU DEHŞET BU NE BÜYÜKLÜK. SANKİ BİR OLAĞANÜSTÜ. SANKİ BİR. MUCİZE. HAKİKATEN GÖZLERİMDE İNANIYORUM OGÜN BUGÜNDÜR AŞIĞIM.
542	Walter Mameli	Very possible that ABBA was the most polished band musically of all time...the proof being this masterpiece as Exhibit A...
543	Denis M.	я то думал она новогодняя, а песня о разводе, пушной канеш открыл глаза
544	MUHARREM SEKMEN	SÜREÇ BOŞLUKTA BULUNUR BOŞLUK BÖLÜNMEZ YAPIDADIR.
545	Roger Gongora	For me she is the most beautiful woman in the world .
546	MUHARREM SEKMEN	HAYAT UZAYDA BULUNUR. HAYAT ACIMASIZDIR.
547	MUHARREM SEKMEN	GERÇEKTE OLAĞANÜSTÜ BİRŞEY ARANIR.
548	MUHARREM SEKMEN	SEVMEK İSTEDİKÇE KAÇIŞDIR AN.
